slug,cmc_rank,volume_24h,percent_change_7d,market_cap,'binance-smart-chain','collectibles-nfts','defi','mineable',circulating/total_supply,price
crypto-com-coin,1.3358070500927646,0.06267331849205506,14.01433108016896,6.048222210763437,0.0,0.0,0.0,0.0,1.832239817748726,0.17313742756176853
eos,1.3729128014842302,1.7390699227352318,13.740616555828018,5.671653209296975,100.0,0.0,0.0,0.0,2.033806605779949,4.274352398666647
aave,1.4100185528756959,0.3723729198103265,13.972801462575386,5.517784233454932,100.0,0.0,100.0,0.0,1.8095017148828558,302.51237460289605
quant,1.4471243042671615,0.10797396033044285,12.676181534446293,5.180543782549188,0.0,0.0,0.0,0.0,1.813387137682789,310.32586583185656
iota,1.4842300556586272,0.19861535102852299,13.530662042770608,5.083511121363356,100.0,0.0,0.0,0.0,2.194893571598742,1.3226373246003222
near-protocol,1.5213358070500929,0.40261643952673765,12.729761732174989,5.0975895181295465,100.0,0.0,0.0,0.0,1.034142326371568,7.823894467889953
fantom,1.5584415584415585,0.6244020414982828,15.373336249310125,4.991452603304379,100.0,0.0,100.0,0.0,2.194893571598742,1.418360094345124
the-graph,1.5955473098330242,0.18163711026555074,13.23173114332701,4.605575059868227,100.0,0.0,100.0,0.0,1.0349979216571747,0.7062897084462748
klaytn,1.6326530612244898,0.13116623903520352,14.604429547490577,4.3115982044968675,0.0,0.0,0.0,0.0,0.5153665245290406,1.2425738518909322
shiba-inu,1.6697588126159555,0.38918018581318364,13.539862154285837,4.2030215637676935,0.0,0.0,0.0,0.0,0.8664713340771925,7.69905311928348e-06
neo,1.7068645640074214,0.376131183009552,13.7887677411123,4.131670092293906,0.0,0.0,0.0,0.0,1.5482211761258022,42.35901216835929
kusama,1.743970315398887,0.20373676644913388,13.588585234098218,4.083299219027231,0.0,0.0,0.0,0.0,1.9262688074984256,348.6351852305093
waves,1.7810760667903527,0.11978842105023546,13.245153438316372,3.844968567680236,0.0,0.0,0.0,0.0,2.194893571598742,26.154183823552533
unus-sed-leo,1.8181818181818183,0.0031969781751572546,12.69331958037571,3.823860921987036,0.0,0.0,0.0,0.0,2.1251933945267147,2.898832071442123
terrausd,1.855287569573284,0.1138681879474492,12.958974875061688,3.69597585862642,100.0,0.0,0.0,0.0,2.194893571598742,1.0012407976839088
bitcoin-sv,1.8923933209647499,0.3803871982097815,13.4761547091827,3.6420743126340476,0.0,0.0,0.0,100.0,2.194893571598742,139.67168477145884
bittorrent,1.9666048237476812,0.2901526407342452,13.501750666773153,3.129878949750969,100.0,0.0,0.0,0.0,1.4631221652503192,0.0034297565357607478
celo,2.0408163265306123,0.20145034508901388,10.4139380043382,2.7848091617215305,0.0,0.0,0.0,0.0,0.717468528199421,6.160438142841393
helium,2.0779220779220777,0.025604037046020853,13.676059687101612,2.541592469602858,0.0,0.0,0.0,100.0,0.9735555156864621,18.58130356781928
dash,2.1150278293135436,0.3550635733954297,13.849172500401083,2.533183862248752,0.0,0.0,0.0,100.0,2.194893571598742,176.81806823624905
omg,2.152133580705009,2.7810494295511607,18.216396793570034,2.48818466780904,0.0,0.0,0.0,0.0,2.194893571598742,12.830470195757353
compound,2.189239332096475,0.27907278609730074,12.40466027596634,2.4909847192788206,100.0,0.0,100.0,0.0,1.2084845720056736,327.1711186221984
thorchain,2.2263450834879404,0.11451567204349948,13.081241253250802,2.4769324527737737,0.0,0.0,100.0,0.0,1.0668511783829797,7.982154421881072
harmony,2.2634508348794062,0.14092020228168264,13.747964815032166,2.349418067193199,100.0,0.0,0.0,0.0,1.7731660811062717,0.15941822306926215
chiliz,2.300556586270872,0.24657279770669663,13.7068331280295,2.348731922526814,0.0,100.0,0.0,0.0,1.4595604268524007,0.2873528066630298
stacks,2.3376623376623376,0.04384827080449437,13.456152948951797,2.286713868617983,0.0,0.0,0.0,0.0,2.0276423340294394,1.3235944162547222
arweave,2.411873840445269,0.06761541543070666,13.350438574112138,2.2564951580631347,0.0,0.0,0.0,0.0,1.1599013386380967,48.86585079653111
revain,2.4489795918367347,0.004667135083017577,13.11870910448713,2.14191047103125,0.0,0.0,0.0,0.0,2.194893571598742,0.018210295302189223
theta-fuel,2.4860853432282,0.08826271234775683,14.15279671908746,2.1406369703792376,0.0,0.0,0.0,0.0,2.194893571598742,0.29202248435223527
holo,2.523191094619666,0.17029200245949383,13.658061951015629,2.0649113750271284,0.0,0.0,0.0,0.0,2.136520360070475,0.008637050315283121
decred,2.5602968460111315,0.018159011709055574,12.385807450513612,2.058508900024411,0.0,0.0,0.0,100.0,2.194893571598742,111.40101708899856
zcash,2.5974025974025974,0.30271434924413754,13.451211527423968,2.0277828261788273,100.0,0.0,0.0,100.0,2.194893571598742,114.81405093415457
huobi-token,2.634508348794063,0.2910125124693587,11.871169600324553,1.9894066989029013,0.0,0.0,0.0,0.0,0.7202119116309937,8.76824459025937
nem,2.6716141001855287,0.07498245528870694,13.86751339960521,1.9840163733730842,0.0,0.0,0.0,0.0,2.194893571598742,0.1594231598478339
celsius,2.7087198515769946,0.019855425637941966,15.271846372835952,1.9494676881515334,0.0,0.0,0.0,0.0,0.753576724641679,5.9022131802292215
sushiswap,2.74582560296846,0.4062609920197652,14.524761887034414,1.9049992164697305,100.0,0.0,100.0,0.0,1.1889130497646925,10.826913440207225
decentraland,2.782931354359926,0.1459422041056419,13.912855472194579,1.8917644521948789,0.0,100.0,0.0,0.0,1.8176509449893303,0.7529515663659225
trueusd,2.8200371057513913,0.15784446591667534,12.952616213876881,1.8474770851183668,100.0,0.0,0.0,0.0,2.194893571598742,0.9997042046137525
icon,2.857142857142857,0.49343746286336426,15.609852280903555,1.775971208480332,0.0,0.0,0.0,0.0,1.8399944387179146,1.9139823832812441
enjin-coin,2.8942486085343226,0.1556889248488548,14.70485705902562,1.756399052920192,0.0,100.0,0.0,0.0,1.8312714678393345,1.5223990780675756
dydx,2.9313543599257885,1.0876717831025327,24.0938980094021,1.7247969215501093,0.0,0.0,100.0,0.0,0.1221099547468162,22.402413496866046
synthetix-network-token,2.968460111317254,0.13213716626621405,12.929212051130534,1.6636250126603527,100.0,0.0,100.0,0.0,1.1709361253467307,10.476234565737904
flow,3.00556586270872,0.18248458028369263,13.651960416287809,1.5760610527360872,0.0,100.0,0.0,0.0,0.10253167218274671,17.686235691645816
qtum,3.079777365491651,0.66711846871479,15.193928330224079,1.5904004729530052,0.0,0.0,0.0,0.0,2.088423620312889,11.647844080393702
mina,3.116883116883117,0.13471324926125328,13.729785976982644,1.5840810927194362,0.0,0.0,0.0,0.0,0.6721037175404133,4.539139383050302
zilliqa,3.1539888682745825,0.15813332599536017,14.460320952287923,1.5469052538151078,100.0,0.0,0.0,100.0,1.7164322996134516,0.09473629425825943
serum,3.1910946196660483,0.5972290600867878,13.644592735013946,1.5207986560629845,0.0,0.0,100.0,0.0,0.26749293314331424,8.254916579126284
curve-dao-token,3.228200371057514,0.2758915599098103,13.54146870585945,1.4953064278947916,0.0,0.0,100.0,0.0,0.5923846218587049,2.5340026892603573
okb,3.2653061224489797,0.572353109809402,16.143964173501157,1.4474001991066248,0.0,0.0,0.0,0.0,0.43889428868382474,17.44561196722346
ren,3.302411873840445,0.19012576794901995,12.086624075727102,1.4403531360211772,0.0,0.0,100.0,0.0,2.189986469778679,1.0439746755870334
iostoken,3.339517625231911,0.4369947515427182,12.40276266342007,1.4560234513887167,0.0,0.0,0.0,0.0,2.194893571598742,0.05817619992841134
ravencoin,3.3766233766233764,0.07676808133572621,14.053494989836315,1.4358619976364828,0.0,0.0,0.0,100.0,2.194893571598742,0.10625511812601135
perpetual-protocol,3.4137291280148423,0.07819517902738743,15.82808555270028,1.413632710058931,0.0,0.0,100.0,0.0,1.0052040574238856,14.88088271303165
basic-attention-token,3.4508348794063077,0.2173965608150752,13.483124610525062,1.4012801462228295,100.0,0.0,100.0,0.0,2.181212873043389,0.6798261148968383
bitcoin-gold,3.4879406307977736,0.049546906883819325,14.13535388569449,1.3933040038481739,0.0,0.0,0.0,100.0,2.194893571598742,57.532240651178654
audius,3.5250463821892395,0.042194685277120315,14.397436042143925,1.3397530632385628,0.0,0.0,0.0,0.0,0.8567469523896287,2.3521786703850838
paxos-standard,3.562152133580705,0.01893889885280522,12.953067570047914,1.3072070506329068,100.0,0.0,0.0,0.0,2.194893571598742,0.999691711885408
telcoin,3.599257884972171,0.01877640815074821,14.128093558957918,1.2974331285313774,0.0,0.0,0.0,0.0,1.198410297312227,0.017184007568573974
nexo,3.6363636363636362,0.013307055699316237,14.135827428251897,1.240321970695018,0.0,0.0,0.0,0.0,1.2290939901405276,1.6017522072244903
